congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
112,Senate,40301,42,0,AR,100,0.0,1.0,"PRYOR, Mark",P000590,1963.0,,-0.199,0.463,-87.54621,0.806,405.0,40.0,
112,Senate,15011,71,0,CA,100,0.0,1.0,"BOXER, Barbara",B000711,1940.0,,-0.45,-0.423,-55.04957,0.864,378.0,19.0,
112,Senate,49300,71,0,CA,100,0.0,1.0,"FEINSTEIN, Dianne",F000062,1933.0,,-0.263,-0.169,-50.52006,0.8819,402.0,21.0,1.0
112,Senate,29906,62,0,CO,100,0.0,1.0,"UDALL, Mark",U000038,1950.0,,-0.353,0.049,-73.65591,0.833,403.0,35.0,
112,Senate,40910,62,0,CO,100,0.0,1.0,"BENNET, Michael F.",B001267,1964.0,,-0.207,-0.11,-56.2968,0.86992,404.0,21.0,1.0
112,Senate,15704,1,0,CT,100,0.0,1.0,"LIEBERMAN, Joseph I.",L000304,1942.0,,-0.205,-0.312,-95.42711,0.786,396.0,44.0,
112,Senate,41101,1,0,CT,100,0.0,1.0,"BLUMENTHAL, Richard",B001277,1946.0,,-0.407,-0.1,-43.23008,0.89683,397.0,17.0,1.0
112,Senate,15015,11,0,DE,100,0.0,1.0,"CARPER, Thomas Richard",C000174,1947.0,,-0.174,-0.22,-81.44577,0.81944,409.0,30.0,1.0
112,Senate,40916,11,0,DE,100,0.0,1.0,"COONS, Christopher A.",C001088,1963.0,,-0.283,-0.229,-43.56483,0.89896,409.0,17.0,1.0
112,Senate,14651,43,0,FL,100,0.0,1.0,"NELSON, Clarence William (Bill)",N000032,1942.0,,-0.192,0.341,-61.06421,0.86131,409.0,26.0,1.0
112,Senate,41102,43,0,FL,200,0.0,1.0,"RUBIO, Marco",R000595,1971.0,,0.589,-0.325,-102.73164,0.76633,386.0,43.0,1.0
112,Senate,29512,44,0,GA,200,0.0,1.0,"CHAMBLISS, Saxby",C000286,1943.0,,0.423,0.205,-91.02064,0.795,397.0,34.0,
112,Senate,29909,44,0,GA,200,0.0,1.0,"ISAKSON, Johnny",I000055,1944.0,,0.404,-0.016,-92.78551,0.79435,403.0,37.0,1.0
112,Senate,4812,82,0,HI,100,1.0,1.0,"INOUYE, Daniel Ken",I000025,1924.0,2012.0,-0.319,0.062,-40.21371,0.895,363.0,16.0,
112,Senate,14400,82,0,HI,100,0.0,1.0,"AKAKA, Daniel Kahikina",A000069,1924.0,,-0.419,0.273,-38.4816,0.909,402.0,17.0,
112,Senate,41112,82,0,HI,100,2.0,5.0,"SCHATZ, Brian Emanuel",S001194,1972.0,,-0.395,-0.119,-1.61837,0.92227,20.0,0.0,1.0
112,Senate,29345,63,0,ID,200,0.0,1.0,"CRAPO, Michael Dean",C000880,1951.0,,0.507,0.274,-98.77209,0.78263,403.0,46.0,1.0
112,Senate,40902,63,0,ID,200,0.0,1.0,"RISCH, James",R000584,1943.0,,0.631,0.575,-81.49519,0.81609,401.0,39.0,1.0
112,Senate,15021,21,0,IL,100,0.0,1.0,"DURBIN, Richard Joseph",D000563,1944.0,,-0.364,-0.359,-42.41279,0.90081,406.0,16.0,1.0
112,Senate,20115,21,0,IL,200,0.0,1.0,"KIRK, Mark Steven",K000360,1959.0,,0.274,-0.647,-49.77374,0.76,181.0,18.0,
112,Senate,14506,22,0,IN,200,0.0,1.0,"LUGAR, Richard Green",L000504,1932.0,,0.304,-0.466,-130.13743,0.725,405.0,58.0,
112,Senate,14806,22,0,IN,200,0.0,1.0,"COATS, Daniel Ray",C000542,1943.0,,0.375,-0.227,-99.19009,0.785,409.0,40.0,
112,Senate,14226,31,0,IA,200,0.0,1.0,"GRASSLEY, Charles Ernest",G000386,1933.0,,0.341,-0.07,-137.86733,0.71444,410.0,68.0,1.0
